station_name,departures,arrivals,net_flow
Oriole Pkwy / Kilbarry Rd,1243,1154,89
Ossington Ave / Bloor St W,8046,8017,29
Ossington Ave / Bruce St,15586,15890,-304
Ossington Ave / College St,14313,14547,-234
Ossington Ave / Harrison St,9942,10343,-401
Overlea Blvd / Thorncliffe Park Dr,751,801,-50
Pacific Ave / Glenlake Ave,1934,1727,207
Palmerston Ave / Dundas St W,21870,21886,-16
Palmerston Ave / Vermont Ave,6842,6634,208
Palmerston Blvd / Herrick St,2050,2017,33
Palmerston Blvd / Lennox St,8276,8614,-338
Pape Ave / Gamble Ave,3726,3758,-32
Park Lawn Rd / Berry Rd,854,854,0
Parkcrest Dr / Kingston Rd,180,205,-25
Parkside Dr / Bloor St W - SMART,5753,5931,-178
Parliament St / Aberdeen Ave,9483,9506,-23
Pharmacy Ave / Danforth Ave,631,638,-7
Pharmacy Ave / Teesdale Pl,513,544,-31
Phoebe St / Spadina Ave,11971,16163,-4192
Pioneer Village Subway Station,284,255,29
Plaxton Dr / St. Clair Ave E,509,534,-25
Polson Pier,12658,15921,-3263
Portland St / Queen St W,24200,25390,-1190
Portland St / Wellington St W,9699,9920,-221
Pottery Rd / Lower Don River Trail,3003,3118,-115
Pretoria Ave / Broadview Ave,4079,3794,285
Primrose Ave / Davenport Rd,1214,1149,65
Princes' Blvd / Nunavut Rd,3574,3580,-6
